Name,RA,DEC
TIC233059608,17.987159,64.142644
TIC233066156,18.018507,61.347153
TIC233068569,18.037206,63.54963
TIC233071926,18.049287,60.417638
TIC233071822,18.053737,60.675192
TIC75656058,18.059914,38.073512
TIC229586455,18.091235,75.145628
TIC233078665,18.107459,62.176751
TIC75878355,18.129033,39.072927
TIC233087860,18.14693,60.678188
TIC298647682,18.150949,53.217729
TIC288516853,18.233154,80.658462
TIC233120979,18.235283,62.858243
TIC76197937,18.246846,37.629995
TIC356978132,18.252114,56.878102
TIC23059280,18.276264,34.173012
TIC76419763,18.293702,36.621462
TIC229608594,18.300804,74.466535
TIC424435940,18.313417,45.172219
TIC406855039,18.324701,71.248626
TIC233688779,18.359573,62.369002
TIC356867115,18.390836,71.581748
TIC233720539,18.425286,63.488103
TIC233721037,18.42627,64.636881
TIC367855829,18.457876,73.264575
TIC353782445,18.462526,55.755753
TIC1551345500,18.486201,55.313107
TIC289164482,18.497287,40.541412
TIC233735068,18.498457,61.049501
TIC288631580,18.528346,82.305949
TIC298663873,18.529575,56.650679
TIC298666530,18.559994,58.205529
TIC27848472,18.575449,35.661431
TIC229715760,18.599302,70.160757
TIC359496368,18.606733,55.391787
TIC157586003,18.617498,40.018691
TIC288636342,18.630957,78.61111
TIC288636599,18.649633,79.23835
TIC229742722,18.655451,69.522873
TIC229747848,18.688445,70.290054
TIC229750058,18.711945,66.303112
TIC229650439,18.728252,74.937833
TIC232635922,18.742419,54.949899
TIC336128819,18.74509,36.563132
TIC233541860,18.746525,62.685644
TIC123233041,18.752542,42.451098
TIC232641326,18.763281,56.381701
TIC48018596,18.771746,50.492466
TIC424391516,18.771843,75.303367
TIC336267424,18.77746,41.56002
TIC232650365,18.784514,54.910682
TIC288735205,18.806678,79.256476
TIC229770036,18.811557,70.840191
TIC394029948,18.815309,78.568946
TIC48188920,18.828054,48.098942
TIC1717732429,18.831636,55.26639
TIC232679662,18.831636,55.266393
TIC123495874,18.841976,46.323281
TIC233602827,18.849149,64.419466
TIC394050135,18.853017,82.245414
TIC1715469662,18.899313,37.380825
TIC237184773,18.899318,37.380642
TIC237185205,18.90178,37.720015
TIC229781583,18.902369,69.633534
TIC236815160,18.909166,59.763193
TIC233617847,18.919637,64.53137
TIC229787062,18.934845,70.25412
TIC267574918,18.961045,53.509024
TIC229791084,18.962927,69.570837
TIC233633993,18.984516,60.154455
TIC230375747,19.001378,63.42983
TIC230377505,19.013707,60.233671
TIC164892194,19.016055,46.668241
TIC1716467085,19.039767,42.507414
TIC235678745,19.042435,75.418514
TIC230386259,19.048568,63.948849
TIC230386397,19.052401,64.230256
TIC230387153,19.061446,65.785672
TIC377191482,19.062474,59.164074
TIC120757718,19.069392,36.632536
TIC158170594,19.07402,43.680961
TIC362220495,19.081864,79.755949
TIC405717754,19.082896,50.040367
TIC158276040,19.103337,44.080803
TIC377290815,19.106199,56.629312
TIC120960812,19.109226,39.487904
TIC1718201850,19.116437,71.712195
TIC258777137,19.116476,71.712375
TIC258777134,19.116525,71.7136
TIC399860444,19.120568,49.316421
TIC377293776,19.123604,59.086625
TIC158324245,19.131411,46.868275
TIC258801269,19.135006,66.290697
TIC377304435,19.136677,55.303691
TIC416195870,19.149473,57.344126
TIC235683377,19.152807,74.174276
TIC258829450,19.177755,66.768093
TIC229938290,19.178734,64.153662
TIC158561566,19.180588,47.33305
TIC258871793,19.192986,66.328065
TIC229940491,19.203301,63.657061
TIC284361752,19.207238,54.640427
TIC229944666,19.225665,62.203124
TIC229951289,19.245028,60.670948
TIC421308357,19.25454,57.760569
TIC299158887,19.281753,49.548281
TIC30329585,19.282579,31.32358
TIC243313296,19.300889,56.236779
TIC159107668,19.315982,44.647347
TIC243335710,19.324107,59.670112
TIC122220263,19.33473,36.637772
TIC1884091865,19.340591,61.085447
TIC420112589,19.344932,73.195108
TIC420112587,19.344932,73.195993
TIC230001847,19.37466,60.853904
TIC284450803,19.380598,56.615388
TIC235905185,19.391828,78.754217
TIC417676622,19.402154,49.040213
TIC24364065,19.408031,33.273702
TIC284477310,19.408398,56.881296
TIC284475976,19.410826,55.473027
TIC259126549,19.427457,69.11298
TIC230017324,19.431021,61.776153
TIC230017325,19.431275,61.776068
TIC284564230,19.434935,58.510182
TIC259129875,19.458683,68.014695
TIC350995812,19.461428,36.529899
TIC26547036,19.477796,53.487369
TIC352239069,19.479739,58.614764
TIC424865156,19.483146,47.969543
TIC21755546,19.485787,30.297329
TIC259168516,19.487599,65.973802
TIC229400092,19.497255,62.529189
TIC287190564,19.500345,54.108503
TIC287196418,19.515609,59.403853
TIC259172391,19.517849,71.497358
TIC237201858,19.521554,72.538317
TIC237200747,19.5355,74.891073
TIC379931600,19.561824,29.596295
TIC26880783,19.562905,53.464527
TIC138361973,19.584332,37.538601
TIC235937532,19.594307,81.554791
TIC229455001,19.619405,60.881302
TIC237211410,19.62507,74.78231
TIC264171144,19.626011,66.971432
TIC69679391,19.644094,31.219201
TIC378159598,19.648182,41.565154
TIC69997672,19.654939,31.958041
TIC138968089,19.673406,40.986723
TIC400430915,19.692148,57.325664
TIC235943205,19.728516,78.725919
TIC237222864,19.749641,74.062858
TIC229490898,19.750487,64.791904
TIC264303333,19.757,67.310971
TIC258389327,19.780686,70.071943
TIC229510866,19.814388,64.354351
TIC169177766,19.820003,41.326844
TIC237232044,19.826579,76.139178
TIC280031353,19.827746,68.883354
TIC83210867,19.830629,34.829665
TIC28230919,19.847343,48.081831
TIC267489265,19.918752,54.781448
TIC101929303,19.951591,35.988359
TIC268823307,19.960469,44.035039
TIC172370679,19.96179,40.143346
TIC405763009,19.962683,56.971091
TIC256621916,20.032559,60.246367
TIC293954617,20.04103,53.377442
TIC356158613,20.047244,39.668371
TIC294176967,20.053674,52.040842
TIC294179389,20.055909,53.29562
TIC294179385,20.056154,53.294181
TIC89389197,20.078512,30.409949
TIC89510024,20.087851,30.670696
TIC274762761,20.089758,38.228325
TIC89643259,20.094059,33.049205
TIC233390838,20.103951,59.490771
TIC405904232,20.104175,52.164181
TIC89759617,20.104312,35.588396
TIC41330864,20.114031,38.431024
TIC185405474,20.114512,45.499227
TIC294471966,20.13343,51.361796
TIC269701147,20.135042,66.850301
TIC42123111,20.148005,38.245221
TIC43064903,20.177942,40.668628
TIC402898317,20.182502,70.869653
TIC92783821,20.201155,35.524628
TIC186000935,20.204865,44.495878
TIC312083267,20.219682,36.725485
TIC236887394,20.225458,65.162331
TIC11111899,20.254989,36.651807
TIC202563254,20.268956,31.925686
TIC236934268,20.284442,65.153844
TIC236934937,20.286604,65.871559
TIC258510872,20.311015,66.155954
TIC203189770,20.320002,32.581045
TIC13419950,20.352623,41.462365
TIC233953967,20.359677,56.462656
TIC233951353,20.36086,58.140828
TIC258514800,20.364995,70.943705
TIC13684720,20.369217,36.064784
TIC364074068,20.421918,77.636412
TIC277014266,20.428389,53.561615
TIC15247229,20.448723,38.932269
TIC199376584,20.449409,33.744388
TIC15565627,20.467776,39.87713
TIC237071229,20.468183,61.871411
TIC408203470,20.480729,33.413959
TIC16102323,20.489108,37.508561
TIC237086564,20.493102,61.550725
TIC16740101,20.523993,39.938913
TIC276380902,20.537718,58.328901
TIC387259626,20.578019,66.440384
TIC352764091,20.583175,63.474938
TIC161450762,20.618393,32.471081
TIC387260717,20.623255,70.954088
TIC416624606,20.669204,50.323742
TIC315755496,20.688758,82.435302
TIC277507814,20.730241,59.576628
TIC277566483,20.746305,54.502161
TIC387413037,20.749102,69.151807
TIC267561446,20.767577,56.86715
TIC365683032,20.811997,51.910696
TIC387527558,20.821805,70.796604
TIC365733349,20.877802,65.608783
TIC365673804,20.889277,64.229166
TIC364186197,20.900736,72.580646
TIC195199644,20.902432,37.789356
TIC279177746,20.925677,46.502085
TIC236445129,20.951235,31.661019
TIC367102581,20.951269,78.674917
TIC330332501,21.007358,46.060449
TIC330468175,21.01108,47.785991
TIC357457104,21.03606,45.775741
TIC387834907,21.044607,70.0803
TIC375506058,21.080246,55.588022
TIC343628284,21.088267,57.771095
TIC274170255,21.096423,46.845151
TIC165523947,21.120926,40.167172
TIC274662200,21.124483,46.865373
TIC265146266,21.12618,74.383252
TIC357972447,21.130387,50.500883
TIC358631536,21.171697,48.464282
TIC367099243,21.181946,72.615356
TIC136848581,21.183193,43.551895
TIC136971594,21.197741,43.592849
TIC388076005,21.20332,68.05247
TIC137284119,21.215677,46.26809
TIC313761775,21.223172,56.943732
TIC167098530,21.241807,40.017017
TIC167092385,21.248308,38.094232
TIC275722992,21.252331,44.899679
TIC314338017,21.276332,58.772809
TIC167403519,21.288334,38.104855
TIC275501623,21.341074,61.12025
TIC13499636,21.346794,28.055829
TIC163539739,21.36523,35.648625
TIC277447970,21.388634,52.8147
TIC266688542,21.401587,46.384673
TIC468472950,21.418881,40.887821
TIC321688498,21.439972,68.640531
TIC316402246,21.464899,54.519818
TIC416987878,21.526143,50.320713
TIC274942910,21.528438,41.797465
TIC321857016,21.529454,66.349005
TIC275111900,21.547123,39.072196
TIC240450679,21.568491,46.931774
TIC387664866,21.569908,50.481445
TIC387664868,21.570024,50.481865
TIC365389353,21.590975,51.323577
TIC322054600,21.591345,68.987307
TIC316468545,21.593886,65.437536
TIC322062001,21.615924,69.283946
TIC266593143,21.635732,30.488188
TIC405794804,21.647627,65.039172
TIC190430205,21.661501,46.220215
TIC190442486,21.662371,41.950794
TIC395171208,21.667636,48.406767
TIC322202434,21.688337,68.807202
TIC190743990,21.719141,45.646806
TIC331034236,21.739434,58.551567
TIC240613164,21.753681,45.812547
TIC264544388,21.762559,79.613939
TIC408636441,21.790111,62.753816
TIC384045439,21.818396,53.293768
TIC345996087,21.832003,44.08006
TIC410528770,21.88106,60.569156
TIC276360911,21.936897,55.740977
TIC350132371,21.939424,68.998035
TIC256886630,21.959004,41.449509
TIC256783784,21.960119,36.321404
TIC162130054,22.074514,31.018767
TIC470127886,22.074521,81.565951
TIC372264750,22.087176,66.775296
TIC326114850,22.104661,52.701917
TIC328167090,22.110898,55.686255
TIC334811204,22.113451,63.599044
TIC328750515,22.152474,57.938972
TIC329148988,22.170884,58.706093
TIC335483600,22.174243,63.55055
TIC329277372,22.175359,57.282429
TIC329145325,22.180838,59.650554
TIC353038705,22.208796,31.364667
TIC430528566,22.211435,52.901085
TIC329864959,22.216336,53.98452
TIC119700084,22.216878,37.627574
TIC470159478,22.220782,81.739729
TIC430677414,22.244647,53.239557
TIC343019899,22.300274,54.319045
TIC336740528,22.315904,61.148988
TIC199444169,22.325523,42.560314
TIC431148743,22.332087,53.662497
TIC395142888,22.35339,59.560814
TIC164150537,22.382807,30.573268
TIC164150539,22.383571,30.572726
TIC164173105,22.388354,35.03492
TIC375850439,22.419669,67.971168
TIC197650870,22.447005,52.227842
TIC414870287,22.458178,59.43379
TIC120602501,22.512454,40.003763
TIC468845640,22.522273,53.796052
TIC452803785,22.562336,52.636337
TIC64553698,22.563531,57.563539
TIC64836837,22.586435,55.031026
TIC128501004,22.602228,37.841042
TIC428065977,22.608025,52.115714
TIC415741431,22.609623,58.276061
TIC249812036,22.652369,49.426562
TIC115771549,22.654394,33.889459
TIC455962313,22.669106,65.439728
TIC376637093,22.672308,69.503731
TIC376682699,22.690151,69.074447
TIC431156009,22.693052,51.965285
TIC376838000,22.72731,69.091928
TIC66445643,22.759087,48.161556
TIC343442463,22.767915,55.162935
TIC377420580,22.797649,60.173632
TIC66783360,22.79806,49.918072
TIC377144784,22.829595,68.251071
TIC67309890,22.87708,48.55001
TIC371673488,22.882214,59.850951
TIC389182138,22.909004,54.161814
TIC427320001,22.923622,70.29729
TIC129539786,22.930241,39.645117
TIC252490659,22.957319,53.140835
TIC346338552,22.963024,38.674919
TIC346418409,22.973977,39.658712
TIC418959198,22.993818,36.517666
TIC155001079,23.010361,46.032536
TIC155005217,23.016255,42.549318
TIC434718964,23.032538,64.067337
TIC155114483,23.049897,44.564848
TIC252616865,23.066325,52.562695
TIC455791689,23.089824,46.903117
TIC2041563029,23.101163,43.898633
TIC252636888,23.101218,52.787014
TIC314835525,23.127321,56.694513
TIC313506357,23.183836,45.93369
TIC283722336,23.22248,57.169626
TIC377739433,23.238279,65.957972
TIC173612049,23.238763,44.508759
TIC417705690,23.240502,76.93432
TIC367607434,23.258328,46.576022
TIC427654774,23.285938,70.190576
TIC422656370,23.311472,68.299217
TIC318746829,23.314575,56.008598
TIC317397615,23.319755,75.017864
TIC319068154,23.340588,55.52411
TIC269238073,23.348849,62.161179
TIC428988981,23.350209,79.441782
TIC269509393,23.358253,60.175637
TIC174041208,23.401199,43.37667
TIC317507345,23.411648,77.627113
TIC125442121,23.438648,38.55294
TIC270238522,23.443228,64.304699
TIC317597583,23.467778,75.552607
TIC174302697,23.478574,47.349521
TIC427761355,23.484501,67.034806
TIC427730490,23.484982,71.506474
