Name,RA,DEC,Ever Observable(I-LOFAR),Always Observable(I-LOFAR),Ever Observable(LOFAR-SE),Always Observable(LOFAR-SE),Fraction of observable time (I-LOFAR),Fraction of observable time (LOFAR-SE)
TIC160440924,15.787792000000001,77.23264300000001,True,True,True,True,1.0,1.0
TIC272758199,15.821139000000002,71.442944,True,True,True,True,1.0,1.0
TIC159873822,15.861607000000001,52.306308,True,True,True,False,1.0,0.8138297872340425
TIC160487753,15.868787,74.40674200000001,True,True,True,True,1.0,1.0
TIC160491359,15.934460999999999,73.07392,True,True,True,True,1.0,1.0
TIC236714379,15.946764000000002,65.888838,True,True,True,True,1.0,1.0
TIC237099296,16.020132,68.9373,True,True,True,True,1.0,1.0
TIC237104103,16.088193,70.19004,True,True,True,True,1.0,1.0
TIC232982938,16.10415,69.621802,True,True,True,True,1.0,1.0
TIC160039081,16.105414,53.514641000000005,True,True,True,False,1.0,0.8936170212765957
TIC232982558,16.117596,67.87764,True,True,True,True,1.0,1.0
TIC207425167,16.183192000000002,58.294553,True,True,True,True,1.0,1.0
TIC207425203,16.194623999999997,58.477001,True,True,True,True,1.0,1.0
TIC287080092,16.23259,63.533530000000006,True,True,True,True,1.0,1.0
TIC230075227,16.291797,68.894664,True,True,True,True,1.0,1.0
TIC198178505,16.292151,61.368246,True,True,True,True,1.0,1.0
TIC198187049,16.381930999999998,61.694835999999995,True,True,True,True,1.0,1.0
TIC198186769,16.387867,62.925121,True,True,True,True,1.0,1.0
TIC207468071,16.393862,54.690077,True,True,True,False,1.0,0.973404255319149
TIC230086768,16.441605,66.144224,True,True,True,True,1.0,1.0
TIC162689341,16.446136,51.041133,True,True,True,False,1.0,0.7606382978723404
TIC198206613,16.469564000000002,63.499098,True,True,True,True,1.0,1.0
TIC230087585,16.475042000000002,69.030975,True,True,True,True,1.0,1.0
TIC230088370,16.490446,71.505872,True,True,True,True,1.0,1.0
TIC159510109,16.502316,80.30775600000001,True,True,True,True,1.0,1.0
TIC207501148,16.510475,56.399868999999995,True,True,True,True,1.0,1.0
TIC232568235,16.511132999999997,49.046789000000004,True,True,True,False,1.0,0.6595744680851063
TIC233009109,16.550216,72.925534,True,True,True,True,1.0,1.0
TIC198211976,16.555552,63.524496,True,True,True,True,1.0,1.0
TIC198213332,16.562236,61.718332999999994,True,True,True,True,1.0,1.0
TIC198212955,16.570220000000003,60.195927000000005,True,True,True,True,1.0,1.0
TIC233497719,16.634666,77.756401,True,True,True,True,1.0,1.0
TIC198241702,16.646442999999998,64.55918100000001,True,True,True,True,1.0,1.0
TIC367739494,16.692199,80.04588000000001,True,True,True,True,1.0,1.0
TIC233500935,16.715993,76.449587,True,True,True,True,1.0,1.0
TIC230127302,16.741058,70.429992,True,True,True,True,1.0,1.0
TIC462615350,16.741279000000002,60.086043000000004,True,True,True,True,1.0,1.0
TIC289539327,16.775565,65.71503,True,True,True,True,1.0,1.0
TIC289580577,16.831322,61.173577,True,True,True,True,1.0,1.0
TIC115446313,16.831459,47.316983,True,True,True,False,1.0,0.5851063829787234
TIC199688472,16.876022,57.97415,True,True,True,True,1.0,1.0
TIC289590465,16.896186,65.293961,True,True,True,True,1.0,1.0
TIC287139872,16.897432000000002,60.709619999999994,True,True,True,True,1.0,1.0
TIC356016119,16.942836,70.027316,True,True,True,True,1.0,1.0
TIC356700488,16.96371,68.69958100000001,True,True,True,True,1.0,1.0
TIC224596152,16.966886,57.305263000000004,True,True,True,True,1.0,1.0
TIC459969957,16.987744,65.747438,True,True,True,True,1.0,1.0
TIC459970307,16.994936,64.699211,True,True,True,True,1.0,1.0
TIC224600500,16.997239,58.462633,True,True,True,True,1.0,1.0
TIC367753709,17.026714000000002,79.067126,True,True,True,True,1.0,1.0
TIC459978312,17.037694000000002,64.600893,True,True,True,True,1.0,1.0
TIC198356533,17.075917,56.842549,True,True,True,True,1.0,1.0
TIC219850915,17.085304,69.519093,True,True,True,True,1.0,1.0
TIC198360694,17.106745,57.661032999999996,True,True,True,True,1.0,1.0
TIC219852882,17.108178,68.843303,True,True,True,True,1.0,1.0
TIC307956397,17.110818,63.778634999999994,True,True,True,True,1.0,1.0
TIC219852584,17.11148,67.871503,True,True,True,True,1.0,1.0
TIC219854185,17.118043,70.23848100000001,True,True,True,True,1.0,1.0
TIC237108272,17.14263,78.587055,True,True,True,True,1.0,1.0
TIC219857012,17.155258,71.876672,True,True,True,True,1.0,1.0
TIC219860288,17.183155,71.87220400000001,True,True,True,True,1.0,1.0
TIC198384408,17.185672,56.658901,True,True,True,True,1.0,1.0
TIC441732151,17.191782999999997,72.13555500000001,True,True,True,True,1.0,1.0
TIC198385543,17.196998,54.527848,True,True,True,False,1.0,0.9840425531914894
TIC198390247,17.214885,57.197778,True,True,True,True,1.0,1.0
TIC441739020,17.267817,72.161181,True,True,True,True,1.0,1.0
TIC232612416,17.268239,63.10560699999999,True,True,True,True,1.0,1.0
TIC441738827,17.283635999999998,72.747023,True,True,True,True,1.0,1.0
TIC441739871,17.304278,74.30272099999999,True,True,True,True,1.0,1.0
TIC233680651,17.353537,63.239281999999996,True,True,True,True,1.0,1.0
TIC233681149,17.357654,65.012281,True,True,True,True,1.0,1.0
TIC233684293,17.384192000000002,63.110741000000004,True,True,True,True,1.0,1.0
TIC233684822,17.393526,64.862363,True,True,True,True,1.0,1.0
TIC219879302,17.40863,67.989121,True,True,True,True,1.0,1.0
TIC219751469,17.413323000000002,61.423520999999994,True,True,True,True,1.0,1.0
TIC188768068,17.423306,52.790471999999994,True,True,True,False,1.0,0.8776595744680851
TIC441765914,17.424993,75.88228000000001,True,True,True,True,1.0,1.0
TIC198456933,17.455784,58.214352000000005,True,True,True,True,1.0,1.0
TIC198457103,17.461402,57.51055699999999,True,True,True,True,1.0,1.0
TIC219762508,17.507018,63.123014000000005,True,True,True,True,1.0,1.0
TIC219776325,17.569561,61.121472,True,True,True,True,1.0,1.0
TIC219778329,17.590138,64.38013199999999,True,True,True,True,1.0,1.0
TIC441798995,17.60986,77.126216,True,True,True,True,1.0,1.0
TIC321668398,17.617535,53.021275,True,True,True,False,1.0,0.8936170212765957
TIC321669174,17.620151,53.025567,True,True,True,False,1.0,0.898936170212766
TIC441797803,17.625263,73.261193,True,True,True,True,1.0,1.0
TIC270515566,17.630269000000002,47.230289,True,True,True,False,1.0,0.601063829787234
TIC320525204,17.664103,56.078972,True,True,True,True,1.0,1.0
TIC1400770435,17.664103,56.078974,True,True,True,True,1.0,1.0
TIC332477926,17.706287,57.447770999999996,True,True,True,True,1.0,1.0
TIC165527918,17.742247,54.090970999999996,True,True,True,False,1.0,0.9627659574468085
TIC165530380,17.76043,59.514199,True,True,True,True,1.0,1.0
TIC233211762,17.779072,70.784502,True,True,True,True,1.0,1.0
TIC165551882,17.784489,57.226662,True,True,True,True,1.0,1.0
TIC165554103,17.795438,55.872814,True,True,True,True,1.0,1.0
TIC341815197,17.820478,54.415932,True,True,True,False,1.0,0.9893617021276596
TIC341815767,17.834681,54.636127,True,True,True,True,1.0,1.0
TIC356311210,17.867738,53.730699,True,True,True,False,1.0,0.9468085106382979
TIC219821826,17.868636,62.79094,True,True,True,True,1.0,1.0
TIC233047097,17.910726999999998,60.356411,True,True,True,True,1.0,1.0
TIC233059608,17.987159,64.14264399999999,True,True,True,True,1.0,1.0
TIC233066156,18.018507,61.347153000000006,True,True,True,True,1.0,1.0
TIC233068569,18.037206,63.54963000000001,True,True,True,True,1.0,1.0
TIC233071926,18.049287,60.417638000000004,True,True,True,True,1.0,1.0
TIC233071822,18.053736999999998,60.675192,True,True,True,True,1.0,1.0
TIC229586455,18.091235,75.145628,True,True,True,True,1.0,1.0
TIC233078665,18.107459,62.176751,True,True,True,True,1.0,1.0
TIC233087860,18.146929999999998,60.678188,True,True,True,True,1.0,1.0
TIC298647682,18.150949,53.217729000000006,True,True,True,False,1.0,0.9202127659574468
TIC288516853,18.233154000000003,80.658462,True,True,True,True,1.0,1.0
TIC233120979,18.235283,62.858243,True,True,True,True,1.0,1.0
TIC356978132,18.252114000000002,56.878102,True,True,True,True,1.0,1.0
TIC229608594,18.300804,74.466535,True,True,True,True,1.0,1.0
TIC406855039,18.324701,71.248626,True,True,True,True,1.0,1.0
TIC233688779,18.359573,62.369002,True,True,True,True,1.0,1.0
TIC356867115,18.390836,71.581748,True,True,True,True,1.0,1.0
TIC233720539,18.425286,63.488103,True,True,True,True,1.0,1.0
TIC233721037,18.426270000000002,64.636881,True,True,True,True,1.0,1.0
TIC367855829,18.457876000000002,73.264575,True,True,True,True,1.0,1.0
TIC353782445,18.462526,55.755753000000006,True,True,True,True,1.0,1.0
TIC1551345500,18.486201,55.313106999999995,True,True,True,True,1.0,1.0
TIC233735068,18.498457000000002,61.049501,True,True,True,True,1.0,1.0
TIC288631580,18.528346,82.305949,True,True,True,True,1.0,1.0
TIC298663873,18.529575,56.650679000000004,True,True,True,True,1.0,1.0
TIC298666530,18.559994,58.205529000000006,True,True,True,True,1.0,1.0
TIC229715760,18.599301999999998,70.16075699999999,True,True,True,True,1.0,1.0
TIC359496368,18.606733,55.391787,True,True,True,True,1.0,1.0
TIC288636342,18.630957000000002,78.61111,True,True,True,True,1.0,1.0
TIC288636599,18.649632999999998,79.23835,True,True,True,True,1.0,1.0
TIC229742722,18.655451,69.522873,True,True,True,True,1.0,1.0
TIC229747848,18.688445,70.290054,True,True,True,True,1.0,1.0
TIC229750058,18.711945,66.303112,True,True,True,True,1.0,1.0
TIC229650439,18.728251999999998,74.937833,True,True,True,True,1.0,1.0
TIC232635922,18.742419,54.949899,True,True,True,True,1.0,1.0
TIC233541860,18.746525,62.685643999999996,True,True,True,True,1.0,1.0
TIC232641326,18.763281,56.381701,True,True,True,True,1.0,1.0
TIC48018596,18.771746,50.492466,True,True,True,False,1.0,0.7819148936170213
TIC424391516,18.771843,75.30336700000001,True,True,True,True,1.0,1.0
TIC232650365,18.784514,54.910681999999994,True,True,True,True,1.0,1.0
TIC288735205,18.806678,79.256476,True,True,True,True,1.0,1.0
TIC229770036,18.811557,70.840191,True,True,True,True,1.0,1.0
TIC394029948,18.815309,78.568946,True,True,True,True,1.0,1.0
TIC48188920,18.828054,48.098942,True,True,True,False,1.0,0.6648936170212766
TIC1717732429,18.831636,55.26639,True,True,True,True,1.0,1.0
TIC232679662,18.831636,55.26639300000001,True,True,True,True,1.0,1.0
