Name,RA,DEC,Distance (pc),Ever Observable(I),Always Observable(I),Ever Observable(SE),Always Observable(SE),Fraction of observable time (SE),Fraction of observable time (SE)
TIC192372961,3.039891,43.183802,558.7529,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC81831095,3.187109,61.762384999999995,403.9588,True,False,True,False,0.589041095890411,0.589041095890411
TIC117322779,3.223484,49.783757,,True,False,True,False,0.4794520547945205,0.4794520547945205
TIC420645189,3.224695,75.26837900000001,159.2179,True,False,True,False,0.45662100456621,0.45662100456621
TIC458914949,3.228228,61.90783100000001,573.0002,True,False,True,False,0.589041095890411,0.589041095890411
TIC82010657,3.250211,60.238195,284.309,True,False,True,False,0.5753424657534246,0.5753424657534246
TIC259151170,3.356393,52.692112,86.3252,True,False,True,False,0.4977168949771689,0.4977168949771689
TIC138017750,3.386743,33.078133,100.9153,True,False,True,False,0.2648401826484018,0.2648401826484018
TIC385105624,3.387207,46.682113,297.9471,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC316254876,3.4659230000000005,54.86561700000001,250.3317,True,False,True,False,0.5114155251141552,0.5114155251141552
TIC285677945,3.539932,50.49904,320.811,True,False,True,False,0.4794520547945205,0.4794520547945205
TIC285674856,3.54642,51.884502000000005,296.5951,True,False,True,False,0.4885844748858447,0.4885844748858447
TIC101037590,3.6320589999999995,33.079896999999995,160.4673,True,False,True,False,0.2694063926940639,0.2694063926940639
TIC104208182,3.6334779999999998,50.955115,,True,False,True,False,0.4840182648401826,0.4840182648401826
TIC201154493,3.742889,41.064351,850.919,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC431899140,3.7481690000000003,45.507188,724.7427,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC201186294,3.7593739999999998,37.11228,35.3095,True,False,True,False,0.3789954337899543,0.3789954337899543
TIC125735470,3.7773519999999996,27.471526,,True,False,True,False,0.1050228310502283,0.1050228310502283
TIC26433869,3.7876230000000004,30.149497999999998,332.5684,True,False,True,False,0.1872146118721461,0.1872146118721461
TIC87090944,3.8991059999999997,58.9683,198.1886,True,False,True,False,0.5570776255707762,0.5570776255707762
TIC266500992,4.078149,52.256992,166.0992,True,False,True,False,0.4931506849315068,0.4931506849315068
TIC73104318,4.114774,58.465452,,True,False,True,False,0.547945205479452,0.547945205479452
TIC102672709,4.115409,66.119599,210.4023,True,False,True,False,0.5159817351598174,0.5159817351598174
TIC103195323,4.171532,75.17093100000001,382.8337,True,False,True,False,0.4383561643835616,0.4383561643835616
TIC267694283,4.215335,53.68705,106.7988,True,False,True,False,0.502283105022831,0.502283105022831
TIC470315428,4.309899,52.86503199999999,,True,False,True,False,0.4931506849315068,0.4931506849315068
TIC470381900,4.352043,48.819831,,True,False,True,False,0.4703196347031963,0.4703196347031963
TIC85031598,4.356406,62.245206,87.8079,True,False,True,False,0.5616438356164384,0.5616438356164384
TIC8400842,4.364639,57.817209,214.316,True,False,True,False,0.54337899543379,0.54337899543379
TIC286561122,4.391749,35.495109,514.0331,True,False,True,False,0.3515981735159817,0.3515981735159817
TIC58542531,4.398643,27.822370000000003,51.2639,True,False,True,False,0.1278538812785388,0.1278538812785388
TIC27677846,4.424676,46.365902,78.8911,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC103448870,4.455666000000001,73.023689,125.3054,True,False,True,False,0.4429223744292237,0.4429223744292237
TIC28900646,4.57293,43.037040000000005,37.6561,True,False,True,False,0.45662100456621,0.45662100456621
TIC9837861,4.703239,54.292058,301.905,True,False,True,False,0.5068493150684932,0.5068493150684932
TIC156724719,4.802121,39.966936,,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC96291218,4.868987000000001,30.280386,,True,False,True,False,0.2146118721461187,0.2146118721461187
TIC121966220,5.053188,41.785784,478.9731,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC122485078,5.123419,36.275085,469.1312,True,False,True,False,0.3835616438356164,0.3835616438356164
TIC367366318,5.2197059999999995,33.317953,137.214,True,False,True,False,0.3059360730593607,0.3059360730593607
TIC142090065,5.271567,79.737727,,True,False,True,False,0.4337899543378995,0.4337899543378995
TIC142117976,5.416015,79.74934,110.5278,True,False,True,False,0.4292237442922374,0.4292237442922374
TIC321041369,5.444737,56.963615000000004,154.5786,True,False,True,False,0.5342465753424658,0.5342465753424658
TIC409183335,5.453855,38.597453,,True,False,True,False,0.4520547945205479,0.4520547945205479
TIC311121985,5.705419,49.513452,188.8075,True,False,True,False,0.4748858447488584,0.4748858447488584
TIC116608612,5.710881,35.185708,269.6799,True,False,True,False,0.365296803652968,0.365296803652968
TIC354006740,5.891271,37.3394,,True,False,True,False,0.4246575342465753,0.4246575342465753
TIC312122956,5.898398,30.446042,,True,False,True,False,0.2374429223744292,0.2374429223744292
TIC368536386,5.961345,36.765805,434.1785,True,False,True,False,0.410958904109589,0.410958904109589
TIC353367071,5.995655999999999,33.506969,406.6859,True,False,True,False,0.3242009132420091,0.3242009132420091
TIC353475866,6.020556,34.77309,,True,False,True,False,0.3607305936073059,0.3607305936073059
TIC468828873,6.124803,66.857699,284.1151,True,False,True,False,0.4703196347031963,0.4703196347031963
TIC339538183,6.22126,63.685007999999996,,True,False,True,False,0.5068493150684932,0.5068493150684932
TIC241225337,6.237237,53.135925,115.7434,True,False,True,False,0.4977168949771689,0.4977168949771689
TIC445805961,6.285589,76.21101999999999,81.418,True,False,True,False,0.3972602739726027,0.3972602739726027
TIC138168780,6.31953,73.827567,237.062,True,False,True,False,0.4018264840182648,0.4018264840182648
TIC86396382,6.50911,29.672265999999997,432.489,True,False,True,False,0.2237442922374429,0.2237442922374429
TIC396740648,6.5165809999999995,66.360596,125.1283,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC190223929,6.566878999999999,41.900818,,True,False,True,False,0.45662100456621,0.45662100456621
TIC274215536,6.659878999999999,42.131339000000004,,True,False,True,False,0.4611872146118721,0.4611872146118721
TIC15863518,6.701372999999999,39.842904,138.9178,True,False,True,False,0.4657534246575342,0.4657534246575342
TIC240148934,6.758811,31.465533,293.3067,True,False,True,False,0.2831050228310502,0.2831050228310502
TIC149833117,6.975236,67.677336,189.086,True,False,True,False,0.4429223744292237,0.4429223744292237
TIC14336130,7.005555,56.82419399999999,104.4616,True,False,True,False,0.5342465753424658,0.5342465753424658
TIC318022259,7.191055,48.327933,35.7283,True,False,True,False,0.4748858447488584,0.4748858447488584
TIC371234684,7.344567999999999,37.140595000000005,461.106,True,False,True,False,0.4474885844748858,0.4474885844748858
TIC51234631,7.359202000000001,58.268108999999995,274.786,True,False,True,False,0.547945205479452,0.547945205479452
TIC371210825,7.437289999999999,32.383825,,True,False,True,False,0.3242009132420091,0.3242009132420091
TIC470987100,7.45343,53.04526800000001,,True,False,True,False,0.4977168949771689,0.4977168949771689
TIC257241363,7.467867999999999,30.321732,52.3834,True,False,True,False,0.2648401826484018,0.2648401826484018
TIC239154970,7.545616000000001,33.835021000000005,400.545,True,False,True,False,0.365296803652968,0.365296803652968
TIC453387619,7.591624,49.478068,199.6167,True,False,True,False,0.4794520547945205,0.4794520547945205
TIC85242435,7.6230139999999995,61.153925,,True,False,True,False,0.5159817351598174,0.5159817351598174
