Name,RA,DEC,Distance (pc),Ever Observable(I),Always Observable(I),Ever Observable(SE),Always Observable(SE),Fraction of observable time (I),Fraction of observable time (SE)
TIC153976959,13.569196,67.62123,93.1159,True,True,True,True,1.0,1.0
TIC219824469,13.629334,48.250123,299.4998,True,True,True,False,1.0,0.8829787234042553
TIC219436394,13.706231,76.647981,164.7609,True,True,True,True,1.0,1.0
TIC311035838,13.739601,48.028565,135.079,True,True,True,False,1.0,0.8776595744680851
TIC219462190,13.870197,75.165261,132.0428,True,True,True,True,1.0,1.0
TIC154089169,13.947814,68.618204,94.8965,True,True,True,True,1.0,1.0
TIC219466784,13.990561,74.151228,115.7943,True,True,True,True,1.0,1.0
TIC441642457,13.992155,58.93291,124.392,True,True,True,True,1.0,1.0
TIC160045097,14.205251,74.411791,,True,True,True,True,1.0,1.0
TIC168699373,14.209591,47.014783,351.383,True,True,True,False,1.0,0.8404255319148937
TIC445859771,14.274724,58.390253,178.0183,True,True,True,True,1.0,1.0
TIC154383539,14.373477,55.334259,,True,True,True,True,1.0,1.0
TIC293687315,14.434922,59.444274,324.38,True,True,True,True,1.0,1.0
TIC233182695,14.602892,68.940695,148.6348,True,True,True,True,1.0,1.0
TIC298164705,14.622561,56.666184,150.7386,True,True,True,True,1.0,1.0
TIC288185138,14.856097,82.952254,225.8866,True,True,True,True,1.0,1.0
TIC219015370,14.872843,70.476557,335.8635,True,True,True,True,1.0,1.0
TIC202426247,15.097115,64.047682,45.9249,True,True,True,True,1.0,1.0
TIC159244568,15.145332,82.446925,151.7658,True,True,True,True,1.0,1.0
TIC232540264,15.191191,71.841296,74.0291,True,True,True,True,1.0,1.0
TIC283829553,15.237908,51.468846,120.6389,True,True,True,True,1.0,1.0
TIC202504234,15.354006,63.565285,241.651,True,True,True,True,1.0,1.0
TIC272635712,15.410809,67.464751,130.7155,True,True,True,True,1.0,1.0
TIC165763244,15.476033,55.18532,,True,True,True,True,1.0,1.0
TIC458478250,15.476443,66.358711,126.7234,True,True,True,True,1.0,1.0
TIC116483514,15.529736,47.055551,32.5084,True,True,True,False,1.0,0.8723404255319149
TIC116483734,15.537722,47.860746,81.2526,True,True,True,False,1.0,0.9095744680851063
TIC224313733,15.60661,57.890738,211.7702,True,True,True,True,1.0,1.0
TIC272672133,15.616119,67.452579,,True,True,True,True,1.0,1.0
TIC159781361,15.628784,48.955206,199.1437,True,True,True,False,1.0,0.9627659574468085
TIC272679240,15.634153,69.017531,138.5867,True,True,True,True,1.0,1.0
TIC405559035,15.65742,55.153498,265.9787,True,True,True,True,1.0,1.0
TIC160440924,15.787792,77.232643,366.3406,True,True,True,True,1.0,1.0
TIC272758199,15.821139,71.442944,,True,True,True,True,1.0,1.0
TIC159873822,15.861607,52.306308,116.962,True,True,True,True,1.0,1.0
TIC160487753,15.868787,74.406742,807.3632,True,True,True,True,1.0,1.0
TIC160491359,15.934461,73.07392,95.7799,True,True,True,True,1.0,1.0
TIC236714379,15.946764,65.888838,200.1882,True,True,True,True,1.0,1.0
TIC237099296,16.020132,68.9373,,True,True,True,True,1.0,1.0
TIC237104103,16.088193,70.19004,321.999,True,True,True,True,1.0,1.0
TIC232982938,16.10415,69.621802,373.9856,True,True,True,True,1.0,1.0
TIC160039081,16.105414,53.514641,63.837,True,True,True,True,1.0,1.0
TIC232982558,16.117596,67.87764,231.8196,True,True,True,True,1.0,1.0
TIC207425167,16.183192,58.294553,,True,True,True,True,1.0,1.0
TIC207425203,16.194624,58.477001,773.5149,True,True,True,True,1.0,1.0
TIC287080092,16.23259,63.53353,113.7074,True,True,True,True,1.0,1.0
TIC230075227,16.291797,68.894664,92.0726,True,True,True,True,1.0,1.0
TIC198178505,16.292151,61.368246,94.4671,True,True,True,True,1.0,1.0
TIC198187049,16.381931,61.694836,38.6647,True,True,True,True,1.0,1.0
TIC198186769,16.387867,62.925121,433.4446,True,True,True,True,1.0,1.0
TIC207468071,16.393862,54.690077,192.7116,True,True,True,True,1.0,1.0
TIC230086768,16.441605,66.144224,89.9038,True,True,True,True,1.0,1.0
TIC162689341,16.446136,51.041133,585.617,True,True,True,True,1.0,1.0
TIC198206613,16.469564,63.499098,62.0363,True,True,True,True,1.0,1.0
TIC230087585,16.475042,69.030975,,True,True,True,True,1.0,1.0
TIC230088370,16.490446,71.505872,298.0981,True,True,True,True,1.0,1.0
TIC159510109,16.502316,80.307756,97.6134,True,True,True,True,1.0,1.0
TIC207501148,16.510475,56.399869,168.3388,True,True,True,True,1.0,1.0
TIC232568235,16.511133,49.046789,101.5476,True,True,True,False,1.0,0.9840425531914894
TIC233009109,16.550216,72.925534,178.5459,True,True,True,True,1.0,1.0
TIC198211976,16.555552,63.524496,49.8345,True,True,True,True,1.0,1.0
TIC198213332,16.562236,61.718333,223.9341,True,True,True,True,1.0,1.0
TIC198212955,16.57022,60.195927,,True,True,True,True,1.0,1.0
