Name,RA,DEC,Distance (pc),Ever Observable(I),Always Observable(I),Ever Observable(SE),Always Observable(SE),Fraction of observable time (I),Fraction of observable time (SE)
TIC387527558,20.821805,70.796604,,True,True,True,False,1.0,0.8138297872340425
TIC365733349,20.877802,65.608783,115.2472,True,True,True,False,1.0,0.5585106382978723
TIC364186197,20.900736,72.580646,140.0482,True,True,True,False,1.0,0.9308510638297872
TIC367102581,20.951269,78.674917,306.2131,True,True,True,True,1.0,1.0
TIC387834907,21.044607,70.0803,,True,True,True,False,1.0,0.776595744680851
TIC265146266,21.12618,74.383252,,True,True,True,True,1.0,1.0
TIC367099243,21.181946,72.615356,246.0448,True,True,True,False,1.0,0.9414893617021277
TIC388076005,21.20332,68.05247,,True,True,True,False,1.0,0.675531914893617
TIC321688498,21.439972,68.640531,,True,True,True,False,1.0,0.7074468085106383
TIC321857016,21.529454,66.349005,203.0993,True,True,True,False,1.0,0.601063829787234
TIC322054600,21.591345,68.987307,307.0876,True,True,True,False,1.0,0.7287234042553191
TIC316468545,21.593886,65.437536,114.0992,True,True,True,False,1.0,0.5638297872340425
TIC322062001,21.615924,69.283946,,True,True,True,False,1.0,0.7446808510638298
TIC405794804,21.647627,65.039172,318.2585,True,True,True,False,1.0,0.5531914893617021
TIC322202434,21.688337,68.807202,134.0123,True,True,True,False,1.0,0.723404255319149
TIC264544388,21.762559,79.613939,135.439,True,True,True,True,1.0,1.0
TIC350132371,21.939424,68.998035,154.4354,True,True,True,False,1.0,0.7393617021276596
TIC470127886,22.074521,81.565951,278.319,True,True,True,True,1.0,1.0
TIC372264750,22.087176,66.775296,249.925,True,True,True,False,1.0,0.6329787234042553
TIC334811204,22.113451,63.599044,522.6572,True,True,True,False,1.0,0.5053191489361702
TIC335483600,22.174243,63.55055,,True,True,True,False,1.0,0.5053191489361702
TIC470159478,22.220782,81.739729,,True,True,True,True,1.0,1.0
TIC375850439,22.419669,67.971168,828.2945,True,True,True,False,1.0,0.6968085106382979
TIC455962313,22.669106,65.439728,,True,True,True,False,1.0,0.5904255319148937
TIC376637093,22.672308,69.503731,248.8243,True,True,True,False,1.0,0.7819148936170213
TIC376682699,22.690151,69.074447,552.7916,True,True,True,False,1.0,0.7606382978723404
TIC376838000,22.72731,69.091928,457.624,True,True,True,False,1.0,0.7606382978723404
TIC377144784,22.829595,68.251071,400.7374,True,True,True,False,1.0,0.7180851063829787
TIC427320001,22.923622,70.29729,86.3208,True,True,True,False,1.0,0.8297872340425532
TIC434718964,23.032538,64.067337,,True,True,True,False,1.0,0.5425531914893617
TIC377739433,23.238279,65.957972,507.7173,True,True,True,False,1.0,0.6223404255319149
TIC417705690,23.240502,76.93432,131.0341,True,True,True,True,1.0,1.0
TIC427654774,23.285938,70.190576,84.0124,True,True,True,False,1.0,0.8351063829787234
TIC422656370,23.311472,68.299217,371.2504,True,True,True,False,1.0,0.7340425531914894
TIC317397615,23.319755,75.017864,428.449,True,True,True,True,1.0,1.0
TIC428988981,23.350209,79.441782,106.1301,True,True,True,True,1.0,1.0
TIC317507345,23.411648,77.627113,262.4465,True,True,True,True,1.0,1.0
TIC270238522,23.443228,64.304699,243.6885,True,True,True,False,1.0,0.5585106382978723
TIC427761355,23.484501,67.034806,227.3554,True,True,True,False,1.0,0.675531914893617
TIC272049972,23.694444,62.921485,,True,True,True,False,1.0,0.5159574468085106
TIC366074069,23.784705,69.049522,320.667,True,True,True,False,1.0,0.7819148936170213
TIC265460043,23.990207,68.384119,180.7534,True,True,True,False,1.0,0.7553191489361702
